File Name,Drive Link,Code,Original Item Description,original price Rs. (A),35%Margin price Rs,Roud Off (B),(Our Price Rs (A +B),Modified Item Description,Extracted Codes (OCR)
IMG-20260310-WA0002.jpg,,,*New Micro Gold  Mangalsutra Combo set* Length- 34Inch Price -540rs FREE SHIPPING ALL OVER INDIA😊,540.0,189.0,189,729,*New Micro Gold  Mangalsutra Combo set* Length- 34Inch Price -729rs FREE SHIPPING ALL OVER INDIA😊,"Code-1110, SAC, M1O4B, N2ZON, 7810044, 8919534, No.3800, 5 A, L34 inch"
VID-20260319-WA0044.mp4,,,**1 GM FORMING MAHARAJ KADA* ( Half Kada Adjustable ) Price - 470 rs Each *FREE SHIPPING ALL OVER INDIA😊*,470.0,164.5,164,634,**1 GM FORMING MAHARAJ KADA* ( Half Kada Adjustable ) Price - 634 rs Each *FREE SHIPPING ALL OVER INDIA😊*,"Code-827, A'C, M9OB, N235N, 8325067, No.9600, 1GM Forming"
IMG-20260310-WA0005.jpg,,,*1 GM FORMING श्री स्वामी समर्थ CHAIN* Length- 24Inch Price -450rs FREE SHIPPING ALL OVER INDIA😊,450.0,157.5,158,608,*1 GM FORMING श्री स्वामी समर्थ CHAIN* Length- 24Inch Price -608rs FREE SHIPPING ALL OVER INDIA😊,"Code-1161, M86B, N22SN, 8920056, No.6700, CHAIN, L-24 Inch, 7Fef"
IMG-20260310-WA0006.jpg,,,*GOLD PLATED DAILY WEAR WATERPROOF CHAIN* Length - 22 INCH Price - 250 rs *FREE SHIPPING ALL OVER INDIA😊*,250.0,87.5,88,338,*GOLD PLATED DAILY WEAR WATERPROOF CHAIN* Length - 22 INCH Price - 338 rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1112, M46A:, N125N, 7810034, No.8399, L-22inch"
IMG-20260310-WA0007.jpg,,,*_1 GM Gold plated Gautam Buddh chain _* L-24 inch Price - 360 Rs Free shipping All over India,360.0,126.0,126,486,*_1 GM Gold plated Gautam Buddh chain _* L-24 inch Price - 486 Rs Free shipping All over India,"SAT, M68B, N18ON, 9816034, No.3650, L-24 Inch"
IMG-20260310-WA0004.jpg,,,*Premium Quality Micro Gold Shree Swami Samarth Chain* Length- 24Inch *Price -250rs FREE SHIPPING ALL OVER INDIA😊,250.0,87.5,88,338,*Premium Quality Micro Gold Shree Swami Samarth Chain* Length- 24Inch *Price -338rs FREE SHIPPING ALL OVER INDIA😊,"M46B, NIZSN, No.5350, L-24inch, Sac"
VID-20260310-WA0003.mp4,,,*1 GM Forming 18k Gold Plated Chain* *Length-22 inch                                           *Price - 650 rs                                               ⭐️ FREE SHIPPING ALL OVER INDIA ⭐️,650.0,227.5,227,877,*1 GM Forming 18k Gold Plated Chain* *Length-22 inch                                           *Price - 877 rs                                               ⭐️ FREE SHIPPING ALL OVER INDIA ⭐️,"Code-1138, A'C, M124C, N325N, 9340062, No.71400, SAC, L-22 inch, 1GM"
IMG-20260311-WA0000.jpg,,,*HANDMADE PARIJAATAK COMBO SET* LENGTH - 28 Inch Price -  1000 rs FREE SHIPPING ALL OVER INDIA😊,1000.0,350.0,350,1350,*HANDMADE PARIJAATAK COMBO SET* LENGTH - 28 Inch Price -  1350 rs FREE SHIPPING ALL OVER INDIA😊,"Code-1204, SA"", L-28 Inch, M194C, NSOON, 8965024, No.81200, Eae)"
IMG-20260311-WA0001.jpg,,,*HANDMADE PARIJAATAK COMBO SET* LENGTH - 28 Inch Price -  1000 rs FREE SHIPPING ALL OVER INDIA😊,1000.0,350.0,350,1350,*HANDMADE PARIJAATAK COMBO SET* LENGTH - 28 Inch Price -  1350 rs FREE SHIPPING ALL OVER INDIA😊,"Code-1205, SAC, M194C, NSOON, 4265077, L-28 Inch, No.91200"
VID-20260315-WA0014.mp4,,,*New Micro Gold  Mangalsutra* Length- 36 Inch Price -690rs FREE SHIPPING ALL OVER INDIA😊,690.0,241.5,241,931,*New Micro Gold  Mangalsutra* Length- 36 Inch Price -931rs FREE SHIPPING ALL OVER INDIA😊,"Code-1207, SAC, M134B, NJASN, 9738056, No.9850, L-36 Inch"
VID-20260313-WA0048.mp4,,,*New Micro Gold  Mangalsutra* Length- 36 Inch Price -690rs FREE SHIPPING ALL OVER INDIA😊,690.0,241.5,241,931,*New Micro Gold  Mangalsutra* Length- 36 Inch Price -931rs FREE SHIPPING ALL OVER INDIA😊,"Code-1207, M134B, N345N, 9738056, No.9850, SAI, L-36 Inch"
IMG-20260313-WA0043.jpg,,,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 750rs *FREE SHIPPING ALL OVER INDIA*,750.0,262.5,262,1012,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 1012rs *FREE SHIPPING ALL OVER INDIA*,"Code-1208, SAC, M146B, N375N, 2348056, 2950, L42inch, No:"
IMG-20260313-WA0046.jpg,,,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 750rs *FREE SHIPPING ALL OVER INDIA*,750.0,262.5,262,1012,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 1012rs *FREE SHIPPING ALL OVER INDIA*,"Code-1209, SAC, M146B, N375N, 2348056, No. 2950, L42 inch"
IMG-20260313-WA0044.jpg,,,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 750rs *FREE SHIPPING ALL OVER INDIA*,750.0,262.5,262,1012,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 1012rs *FREE SHIPPING ALL OVER INDIA*,"Code-1210, SAC, M146B, N375N, 2348056, No. 2950, L42 inch"
IMG-20260313-WA0040.jpg,,,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 750rs *FREE SHIPPING ALL OVER INDIA*,750.0,262.5,262,1012,VICTORIAN MANGALSUTRA SET L-42 Inch Price - 1012rs *FREE SHIPPING ALL OVER INDIA*,"Code-1211, SAC, M146B, N375N, 2348056, No.2950, L42inch"
IMG-20260313-WA0047.jpg,,,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 800rs *FREE SHIPPING ALL OVER INDIA*,800.0,280.0,280,1080,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 1080rs *FREE SHIPPING ALL OVER INDIA*,"Code-1212, SAC, M1S6B, N4OON, 2355045, No 9950, L40 Inch, 5 A"
IMG-20260313-WA0045.jpg,,,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 800rs *FREE SHIPPING ALL OVER INDIA*,800.0,280.0,280,1080,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 1080rs *FREE SHIPPING ALL OVER INDIA*,"Code-1213, SAC, M156B, N4OON, 2355045, No. 9950, L40 Inch"
IMG-20260313-WA0039.jpg,,,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 800rs *FREE SHIPPING ALL OVER INDIA*,800.0,280.0,280,1080,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 1080rs *FREE SHIPPING ALL OVER INDIA*,"Code-1214, SAC, M1S6B, N4OON, 2355045, No. 9950, L40 Inch, 8 A"
IMG-20260313-WA0042.jpg,,,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 800rs *FREE SHIPPING ALL OVER INDIA*,800.0,280.0,280,1080,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 1080rs *FREE SHIPPING ALL OVER INDIA*,"Code-1215, SAC, M156B, N4OON, 2355045, No. 9950, L40 Inch, Long"
IMG-20260313-WA0041.jpg,,,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 800rs *FREE SHIPPING ALL OVER INDIA*,800.0,280.0,280,1080,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 1080rs *FREE SHIPPING ALL OVER INDIA*,"SAC, Code-1216, M1S6B, N4OON, 2355045, No. 9950, L40 Inch, Long"
IMG-20260313-WA0038.jpg,,,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 800rs *FREE SHIPPING ALL OVER INDIA*,800.0,280.0,280,1080,*VICTORIAN MANGALSUTRA SET* LENGTH - 40 Inch Price - 1080rs *FREE SHIPPING ALL OVER INDIA*,"Code-1217, SAC, M1S6B, N4OON, 2355045, No. 9950, L40 Inch"
IMG-20260313-WA0037.jpg,,,*Micro Gold Mangalsutra Set* Length- 38Inch Price -420rs FREE SHIPPING ALL OVER INDIA😊,420.0,147.0,147,567,*Micro Gold Mangalsutra Set* Length- 38Inch Price -567rs FREE SHIPPING ALL OVER INDIA😊,"Code-1160, SAC, M8OB, N21ON, 7821056, No.8550, L38 inch"
IMG-20260313-WA0036.jpg,,,*Micro Gold Mangalsutra Set* Length- 38Inch Price -570rs FREE SHIPPING ALL OVER INDIA😊,570.0,199.5,200,770,*Micro Gold Mangalsutra Set* Length- 38Inch Price -770rs FREE SHIPPING ALL OVER INDIA😊,"MIIOB, Code-1158, N285N, SAC, 8932567, No.7800, Gwi, L38 inch"
IMG-20260313-WA0006.jpg,,,*Micro Gold Mangalsutra Set* Length- 38Inch Price -490rs FREE SHIPPING ALL OVER INDIA😊,490.0,171.5,172,662,*Micro Gold Mangalsutra Set* Length- 38Inch Price -662rs FREE SHIPPING ALL OVER INDIA😊,"Code-1157, SAC, M9SA, N24SN, 7829056, No.5699, 6 A C, L36 inch"
IMG-20260313-WA0035.jpg,,,*Micro Gold Mangalsutra Set* Length- 38Inch Price -450rs FREE SHIPPING ALL OVER INDIA😊,450.0,157.5,158,608,*Micro Gold Mangalsutra Set* Length- 38Inch Price -608rs FREE SHIPPING ALL OVER INDIA😊,"Code-1155, M87A., N225N, 7825077, No.8650, L38 inch"
